           9
5,2
"Grensvlak, m+NAP",-999.99
"Lithologie",-999.99
"LithoKlassificatie",-999.99
"Zandmediaanklasse NEN5104",-999.99
"Bijmenging",-999.99
27.58,L,3,NONE,"Zandig"
27.18,Z,6,ZMGO,"None"
23.38,Z,7,ZZGO,"None"
22.38,Z,7,ZZGO,"Grindig"
19.38,Z,6,ZMGO,"Grindig"
18.58,Z,6,ZMGO,"None"
18.18,K,3,NONE,"Grindig"
17.68,Z,7,ZZGO,"Grindig"
12.58,-,-,-,-
