          10
5,2
"Grensvlak, m+NAP",-999.99
"Lithologie",-999.99
"LithoKlassificatie",-999.99
"Zandmediaanklasse NEN5104",-999.99
"Bijmenging",-999.99
27.60,L,3,NONE,"Zandig"
27.10,Z,6,ZMGO,"None"
26.30,Z,7,ZZGO,"None"
21.60,Z,7,ZZGO,"Grindig"
20.40,Z,6,ZMGO,"None"
18.90,Z,6,ZMGO,"Grindig"
18.00,K,3,NONE,"Grindig"
16.20,Z,7,ZZGO,"Grindig"
12.20,K,2,NONE,"Grindig"
12.10,-,-,-,-
