           9
5,2
"Grensvlak, m+NAP",-999.99
"Lithologie",-999.99
"LithoKlassificatie",-999.99
"Zandmediaanklasse NEN5104",-999.99
"Bijmenging",-999.99
22.00,L,3,NONE,"Zandig"
20.75,Z,5,ZZFO,"None"
18.75,Z,0,NONE,"None"
12.50,Z,7,ZGC,"Grindig"
11.75,K,2,NONE,"None"
9.75,Z,7,ZGC,"None"
-11.00,G,8,NONE,"None"
-12.00,Z,0,NONE,"Grindig"
-18.25,-,-,-,-
