          11
5,2
"Grensvlak, m+NAP",-999.99
"Lithologie",-999.99
"LithoKlassificatie",-999.99
"Zandmediaanklasse NEN5104",-999.99
"Bijmenging",-999.99
26.50,Z,6,ZMFO,"Zwak Humeus"
26.30,Z,6,ZMGO,"Siltig"
24.50,Z,7,ZZGO,"Zwak Grindig"
20.80,Z,6,ZMGO,"Sterk Grindig"
19.40,Z,7,ZZGO,"Sterk Grindig"
17.70,Z,7,ZZGO,"Sterk Grindig"
11.70,Z,6,ZMGO,"Zwak Grindig"
5.70,Z,7,ZGC,"Zwak Grindig"
-1.70,Z,7,ZZGO,"Zwak Grindig"
-7.50,Z,7,ZZGO,"Sterk Grindig"
-12.50,-,-,-,-
